Activity,Confidence
Walk around the house,
Walk up and down the stairs,
Bend over and pick up a slipper from the floor,
Reach for a small can off a shelf at eye level,
Stand on your tiptoes and reach for something,
Stand on a chair to reach for something,
Sweep the floor,
Walk outside to a nearby car,
Get in and out of a car,
Walk across a parking lot,
Walk up and down a ramp,
Walk in a crowded mall where people rapidly walk past you,
Are bumped into by people as you walk through the mall,
Use an escalator holding the rail,
Use an escalator not holding the rail,
Walk outside on wet sidewalks,
Total                                       ,
